상품번호,계정,판매자코드,상품명,광고비,전환매출,ROAS%,클릭
4164329935,rejoice999,W5074A9,co우르오스 스킨밀크 200ml 1개 중건성 남성화장품,2145,0,0.0,3
4165183964,rejoice999,W9AF1AF,롯데250레드 FM AM 라디오 SW 해외단파방송 청취,2134,0,0.0,2
4166166146,rejoice999,WB226B4,맥슨007 벽걸이겸용 발신자정보표시 CID 유선전화기,2134,0,0.0,2
4175247925,rejoice321,LCE_MX_L8507760_00,랠리쉬타임 호박씨 500g/견과류선물/호박씨앗/조미땅콩,2123,0,0.0,3
4706397466,dlwodbs333,LCE_MX_L7175254_00,(영달철물) 일자 선반대 2p세트(350mm)/인테리어,2123,0,0.0,2
4165128447,rejoice999,W96A1A0,스텐 전골 냄비 인덕션 오뎅탕 샤브샤브 냄비 3중 4호,2123,0,0.0,2
2786186092,rejoice666,W79C0B4,코너 선반 4단 스탠드 욕실 수납 정리 거치대 받침대 ,2112,0,0.0,2
4174056657,rejoice321,LCE_MX_L8470291_00,교회 행사용 철제 접이식 의자 그레이 스툴 카페의자/식,2112,0,0.0,2
4393477351,dlwodbs333,LCE_MX_L6688431,THS 더허브샵 프리미엄 허브 삼각티백차 25T 15종,2112,0,0.0,2
4164974271,rejoice999,WCF4714,해바라기 휠 페이퍼 4인치 80방 그라인더 사포 사포날,2101,0,0.0,2
2936668889,rejoice222,W281445,솥뚜껑 구이 무쇠 가마솥 고기 불판 삼겹살 철판 로스트,2090,0,0.0,2
4174080503,rejoice321,LCE_MX_L2301870_00,로얄캐닌 캣 스테럴라이즈드 2kg/고양이/사료/로얄케닌,2090,0,0.0,3
4165174696,rejoice999,W95100F,미니 농구 골대 어린이 농구대 실내 스포츠 장난감,2090,0,0.0,2
4206472452,rejoice999,W901B01,에찌모토 주방칼 과도 식도 식칼 요리 칼 20cm 중 ,2090,0,0.0,2
4365566496,rejoice999,WA022E0,방수 IPX7등급 가루 진공흡입 발 각질제거기 발각질제,2090,0,0.0,2
4185302341,dlrmsgh012,LCE_MX_L4293077_00,광동 헛개차 180ml 1박스 (30개)/숙취/음료/캔,2079,0,0.0,2
4239011702,dlwodbs444,LCE_MX_L3466775_00,새콤짱 사과맛 35g(24개입)/새콤짱사과맛/새콤짱/새,2068,0,0.0,2
4614612590,dlwodbs444,LCE_MX_L7464896_00,LED평판 엣지형 더 스타일 520X520 40W 주광,2068,0,0.0,3
4165111118,rejoice999,W8BEA5A,아리아라 천연가죽 VIP 북커버 책커버,2057,0,0.0,2
4165144431,rejoice999,WB3FC5E,성복 중식도 우드2957 대바 중국집 식당 업소 주방칼,2057,0,0.0,2
4284384561,dlwodbs444,LCE_MX_L0825649_00,모던 무광 도기화분 옆이 넓은 직사각 30x10x10c,2046,0,0.0,2
4635213510,rejoice234,LCE_MX_L1540937,헤어 세안 밴드 토끼 1+1/디자인헤어밴드/목욕헤어밴드,2046,0,0.0,3
4361330771,rejoice794,LCE_MX_L8005443_00,스마토-폭넓은 알루미늄 사다리 SLB03 2x3단 (1,2035,0,0.0,2
4285437985,tmxkql222,LCE_SX_L0824585,빈티지 플라스틱화분 옆이넓은 직사각 Q30 30x15x,2024,0,0.0,2
4405493168,rejoice666,WEB2D1D,세모금컵 2000매 두모금컵 한모금컵 샘솟는컵,2002,0,0.0,2
3695190370,rejoice678,WC11B09,케어 에센스 마스크팩 100매 8종x10매+20매 라꾸,2002,0,0.0,2
4165112244,rejoice999,W9B8316,아남 효도라디오 ATX-13 번호선곡 TF FM라디오,2002,0,0.0,2
4165234552,rejoice999,W8E772D,AC316 무선RC탱크 아카데미 한국 K9자주,2002,0,0.0,2
