상품번호,계정,판매자코드,상품명,광고비,광고전환ROAS%,실매출,실ROAS%,클릭
4376560878,dlwoddbs55,LCE_SX_L1732857_00,뉴 뽀글뽀글 라벤더 배쓰밤 만들기(5개 세트)/입욕,2145,6037.3,116834,5446.8,5
4146311907,rejoice234,LCE_MX_L5099095_00,종이컵 13온스 무지 1000개/용기/정수기컵/무지,5786,2212.2,116631,2015.7,5
4376388818,dlwodb888,W9D170E,(레드박스)구슬굴리기 마블런(150P) (612R2,836,15529.9,116352,13917.7,4
4164318697,rejoice999,W71DF28,고양이사료 뉴 캐츠랑 어덜트 8kg,1375,6220.4,115794,8421.4,3
4599819136,dlwodb111,W71DF28,고양이사료 뉴 캐츠랑 어덜트 8kg,990,5899.0,115794,11696.4,2
4060042397,tmxkqlwus,W8D32D0,크루거3000 핸디형 겸용 스텐드 자동 반죽기,2233,5524.9,115666,5179.8,4
4324413390,rejoice911,LCE_SX_L6178570_00,EFM 아이피타임 스위칭 허브(H7005A 후속모델,297,41969.7,115400,38855.2,1
4494697166,dlwodbs222,WEEC554,PLUS 젤스톤 화이트 굵은입자 거친 돌가루 백드롭,5951,2637.2,115227,1936.3,7
4165120702,rejoice999,W89DAE6,신일40D 무선 세라믹열판 파워스팀 다리미,8525,1471.4,115041,1349.5,9
4405521860,rejoice678,WC64C8D,조립식 미니 철제 원형 사이드테이블 빈티지 거실협탁,3091,4156.9,114986,3720.0,5
4306170314,rejoice666,W8BD985,나사(피스 논프라피스)길이선택,4378,1650.1,114869,2623.8,10
3695502143,rejoice678,W10F592,에그톡 12컬러 피카소 물감놀이 크레 용 파스,4180,3049.3,114190,2731.8,5
4615128028,dlwodb999,LCE_SX_L9011876_00,비트제로 드럼용3L/진드기/침투세탁/비트/액츠세제/,660,19227.3,114190,17301.5,1
4376348033,rejoice444,W8F3387,양문형 김치 냉장고 드럼 세탁기 건조기 덮개 커버,8107,300.1,114005,1406.3,14
4365560668,rejoice999,WBC683C,주니어 여아 청자켓 아우터 초등,3410,2212.3,114003,3343.2,10
4599701828,rejoice987,WBC683C,주니어 여아 청자켓 아우터,7502,642.8,114003,1519.6,19
4165175966,rejoice999,WAD0181,무선 블루투스 헤드폰 FM라디오 스테 유선 헤드셋,1320,9198.5,113892,8628.2,2
4369716701,rejoice999,WB802BD,포지타노레몬캔디 레몬맛사탕 입덧사탕 3개,660,3816.7,112515,17047.7,1
4182583158,dlrmsgh012,LCE_SX_L6469845_01,(티오피 심플리 스무스 스위트아메리카노 240mlx,2068,6292.1,111804,5406.4,6
