계정,연도,상품번호,판매자코드,ROAS%,광고비,광고전환매출,클릭
rejoice666,2025,3868205875,WB93CD8,16682,2860,477100,5
rejoice666,2025,3868241858,WE64F5D,18151,3498,634920,6
rejoice666,2025,3868242134,,5277,671,35410,2
rejoice666,2025,3868281677,WEB0F40,922,4796,44200,11
rejoice666,2025,4060178193,W443266,2617,1155,30230,3
rejoice666,2025,4060180523,,7140,1848,131940,6
rejoice666,2025,4060181119,,242,16797,40730,38
rejoice666,2025,4060181228,WE4F9F6,3046,1661,50590,4
rejoice666,2025,4060188302,,7929,495,39250,2
rejoice666,2025,4060192109,,3936,1353,53260,4
rejoice666,2025,4060198648,W82D1A0,2476,2277,56380,5
rejoice666,2025,4060199876,W510F65,1786,1925,34390,5
rejoice666,2025,4060217706,,5226,1496,78180,4
rejoice666,2025,4060224814,W5AEDD5,13320,440,58610,1
rejoice666,2025,4060224943,W9CDC20,1470,2530,37190,6
rejoice666,2025,4060225192,W3849AE,1890,1661,31400,4
rejoice666,2025,4060242393,WB19270,502,17578,88320,36
rejoice666,2025,4060247019,WB1FB60,383,8415,32260,22
rejoice666,2025,4060249561,,18187,385,70020,1
rejoice666,2025,4060255117,W96086B,1455,2354,34250,6
rejoice666,2025,4060256070,WD0D04C,809,3850,31160,9
rejoice666,2025,4060262374,,1284,2530,32480,6
rejoice666,2025,4060263057,W7E9926,21891,770,168560,2
rejoice666,2025,4060267482,W4B1BB4,2383,1320,31460,3
rejoice666,2025,4060269019,W3852D1,1507,1760,26530,4
rejoice666,2025,4060279578,W92F47C,1028,11033,113440,14
rejoice666,2025,4060292542,W9CA25E,3399,2541,86380,6
rejoice666,2025,4060304588,,1159,3080,35690,8
rejoice666,2025,4060305214,,5227,770,40250,2
rejoice666,2025,4060307116,,434,7172,31100,13
rejoice666,2025,4060312540,W94511C,11588,616,71380,4
rejoice666,2025,4060321374,W918D80,8263,495,40900,1
rejoice666,2025,4060325368,W67C31C,8901,2178,193870,5
rejoice666,2025,4060336845,W5A4BA6,3174,1870,59350,4
rejoice666,2025,4060347608,W97FC16,14247,396,56420,1
rejoice666,2025,4060357461,WE1FF67,1090,4136,45080,10
rejoice666,2025,4060362752,WB3DF8B,552,7249,40010,19
rejoice666,2025,4060378237,W0320F0,1451,5610,81400,9
rejoice666,2025,4060390808,W4B9B35,219,23122,50540,56
rejoice666,2025,4060391144,W4B9B39,924,5467,50540,15
rejoice666,2025,4060391277,WAF390E,11118,4763,529550,11
rejoice666,2025,4060394150,,357,7260,25920,18
rejoice666,2025,4060397362,WB61344,299,53207,159000,95
rejoice666,2025,4060397423,WBC9747,501,5368,26880,16
rejoice666,2025,4060397850,WB61340,937,5654,53000,15
rejoice666,2025,4139607664,W1BBCEC,979,4048,39650,10
rejoice666,2025,4139607905,W96FB64,1541,1892,29150,5
rejoice666,2025,4139616646,WA15277,6410,1155,74040,3
rejoice666,2025,4139630324,,9818,363,35640,2
rejoice666,2025,4206458115,WBA3E05,23152,396,91680,2
rejoice666,2025,4206461597,WEF5E39,10766,770,82900,2
rejoice666,2025,4206462652,WBDDA6C,5179,1298,67220,3
rejoice666,2025,4206464120,WACD3E1,463,10450,48370,27
rejoice666,2025,4206468381,WD1E7A5,13084,880,115140,2
rejoice666,2025,4253223039,,526,8734,45940,23
rejoice666,2025,4253223314,WF3E587,2042,2475,50550,6
rejoice666,2025,4253223404,WF209A3,537,3718,19950,10
rejoice666,2025,4253223630,WEAA3B9,1939,1452,28150,4
rejoice666,2025,4253223652,WF4A996,1203,7700,92610,17
rejoice666,2025,4253223817,WF38B9F,771,2772,21360,9
rejoice666,2025,4253223933,WE91C6B,815,2750,22420,6
rejoice666,2025,4253224120,WF1B912,525,4807,25240,12
rejoice666,2025,4253224152,WE8BE6F,5365,3300,177040,8
rejoice666,2025,4253224236,WEDACE2,1559,4213,65670,10
rejoice666,2025,4306166637,WAF2F32,2962,1573,46590,3
rejoice666,2025,4306166849,WAC5CD4,3034,2365,71750,6
rejoice666,2025,4306167577,,415,5302,22000,16
rejoice666,2025,4306168591,WC0573C,4731,1133,53600,3
rejoice666,2025,4306169357,W2E7205,15484,1705,264000,4
rejoice666,2025,4306169465,,486,15961,77650,38
